#_x,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Posición,#_y,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
3,Justin Anderson,FCB,.703,.670,184.6,5.4,14.3,10.3,3.5,8.8,1.5,1.6,19.5,-2.1,1.7,132.4,111.2,21.2,50.8,20.3,Alero (SF),39,7,137.1,73,25,44,.568,9,18,.500,14,18,.778,5,16,21,3,4,2,5,7
4,Joan Sastre,TEN,.620,.575,165.0,3.7,14.3,9.1,14.4,4.4,3.5,0.0,14.1,4.8,1.4,137.9,109.8,28.1,26.0,17.6,Alero (SF),143,5,82.3,27,11,20,.550,1,10,.100,4,4,1.000,2,8,10,7,5,0,1,7
5,Thomas Bropleh,FOR,.610,.568,178.5,2.2,14.1,8.0,12.9,15.5,2.2,0.7,26.1,-4.8,1.4,107.7,109.0,-1.3,50.5,16.7,Alero (SF),6,7,163.9,100,33,74,.446,18,40,.450,16,18,.889,3,19,22,10,7,1,15,15
6,Rodions Kurucs,MUR,.568,.542,147.4,7.4,26.9,16.1,13.8,15.2,2.8,0.0,21.0,-1.9,1.3,108.4,104.9,3.5,59.0,16.7,Alero (SF),31,7,174.7,76,29,59,.492,6,19,.316,12,18,.667,11,32,43,13,9,0,12,22
7,L.J. Figueroa,LBC,.530,.500,148.1,7.1,22.0,14.2,14.2,7.8,2.5,2.2,21.8,1.9,1.2,114.0,120.3,-6.3,36.3,16.6,Alero (SF),88,6,105.6,50,19,41,.463,3,8,.375,9,14,.643,6,17,23,9,5,2,4,17
8,Thomas Scrubb,TEN,.606,.595,161.7,11.8,13.6,12.7,6.4,4.9,2.2,0.0,13.2,1.4,1.3,136.2,112.5,23.7,46.3,15.6,Alero (SF),91,6,155.8,47,18,37,.486,8,21,.381,3,4,.750,12,14,26,6,6,0,2,8
9,Kaiser Gates,JOV,.654,.605,188.8,7.3,22.2,15.9,3.1,14.4,1.0,1.8,16.4,-3.7,1.4,119.5,105.7,13.8,51.3,14.6,Alero (SF),64,6,167.3,62,21,43,.488,10,25,.400,10,10,1.000,8,33,41,3,3,3,8,17
10,Elias Valtonen,GRA,.608,.605,158.8,5.1,12.6,8.5,7.4,4.2,1.9,0.8,15.5,0.9,1.3,124.4,109.3,15.2,36.9,14.5,Alero (SF),76,6,139.7,55,21,43,.488,10,20,.500,3,5,.600,6,12,18,5,5,1,2,16
11,Timothe Luwawu-Cabarrot,BASK,.536,.500,163.9,2.9,15.0,8.8,13.7,14.2,2.2,1.2,22.4,-1.5,1.2,107.4,120.1,-12.8,41.4,13.7,Alero (SF),28,7,176.2,78,29,67,.433,9,25,.360,11,13,.846,4,20,24,14,7,2,12,23
12,Alberto Abalde,RMB,.517,.419,156.7,3.2,9.0,6.5,7.9,4.3,2.4,0.0,16.3,2.0,1.2,121.0,108.1,12.9,28.6,12.5,Alero (SF),98,7,138.5,46,13,37,.351,5,15,.333,15,17,.882,3,11,14,7,6,0,2,11
13,Oriol Pauli,FOR,.496,.489,119.8,2.3,13.9,8.0,25.7,20.2,3.6,1.4,18.1,1.0,1.1,96.0,105.8,-9.7,46.5,12.3,Alero (SF),86,7,157.1,51,20,47,.426,6,22,.273,5,10,.500,3,18,21,22,11,2,13,8
14,Nicolas Brussino,GCN,.489,.432,140.9,4.2,14.5,9.3,11.9,11.9,1.9,1.9,20.9,-0.6,1.1,101.9,108.7,-6.8,39.9,12.2,Alero (SF),50,7,174.7,65,22,59,.373,7,33,.212,14,17,.824,6,20,26,12,6,3,9,15
15,Edgar Vicedo,GRA,.533,.467,137.3,5.7,21.2,12.6,5.9,9.9,2.1,1.7,14.8,-1.0,1.3,110.1,107.9,2.3,30.9,11.7,Alero (SF),115,7,126.3,39,11,30,.367,6,22,.273,11,15,.733,6,18,24,4,5,2,4,13
16,Yunio Barrueta,LBC,.510,.485,153.4,2.2,11.3,6.5,5.9,4.0,0.9,0.0,20.1,0.6,1.1,108.7,125.6,-17.0,33.0,10.6,Alero (SF),38,7,168.3,73,25,68,.368,16,55,.291,7,8,.875,3,14,17,6,3,0,3,11
17,Adam Hanga,JOV,.499,.471,147.5,4.7,15.6,10.8,11.8,11.6,0.9,2.4,16.7,0.8,1.1,105.7,109.3,-3.6,27.9,10.2,Alero (SF),118,6,128.6,38,13,35,.371,7,18,.389,5,7,.714,4,17,21,9,2,3,5,14
18,Santiago Yusta,ZAR,.464,.456,110.1,5.2,12.4,8.9,11.7,18.0,4.1,0.0,22.7,-3.8,1.0,91.9,109.2,-17.4,27.9,10.0,Alero (SF),70,6,153.7,59,23,57,.404,6,26,.231,7,15,.467,6,15,21,12,12,0,14,20
19,Jonathan Barreiro,UNI,.609,.614,131.8,5.3,18.6,11.7,4.5,24.5,2.2,0.0,15.6,-6.1,1.4,96.3,106.0,-9.7,20.5,9.9,Alero (SF),138,7,98.0,30,12,22,.545,3,11,.273,3,6,.500,4,13,17,3,4,0,8,7
20,Aleksandar Aranitovic,BRE,.433,.390,133.7,3.8,18.9,10.7,9.3,12.4,2.8,0.8,19.6,-1.7,1.0,88.2,109.8,-21.6,29.1,9.0,Alero (SF),89,7,152.5,49,16,50,.320,7,20,.350,10,15,.667,5,21,26,8,8,1,8,13
21,Yoanki Mensia,ZAR,.424,.304,113.8,3.5,11.6,7.6,3.5,6.6,3.3,2.6,17.5,-0.8,1.0,98.0,111.1,-13.1,11.0,9.0,Alero (SF),147,5,79.2,24,7,23,.304,0,5,.000,10,12,.833,2,7,9,2,5,2,2,11
22,Howard Sant-Roos,MUR,.403,.346,126.6,2.5,17.1,9.1,13.4,17.2,3.4,0.8,17.0,-0.7,0.9,84.3,102.2,-17.9,26.8,8.1,Alero (SF),122,6,143.3,35,12,39,.308,3,19,.158,8,10,.800,3,17,20,12,9,1,9,8
23,Zoran Dragic,BBB,.439,.344,121.8,3.0,14.5,9.0,20.8,17.7,0.9,0.0,20.3,1.0,1.1,93.2,112.5,-19.3,30.3,7.6,Alero (SF),82,7,171.7,53,13,48,.271,7,30,.233,20,28,.714,4,21,25,22,3,0,13,16
24,Miguel Gonzalez,ZAR,.508,.500,117.9,7.3,13.8,10.6,5.6,27.6,1.7,3.4,5.3,-0.4,1.1,108.9,112.5,-3.7,16.5,6.6,Alero (SF),157,6,91.6,8,3,7,.429,1,4,.250,1,2,.500,5,10,15,4,3,3,3,10
25,Stan Okoye,AND,.495,.500,101.9,1.2,8.1,5.0,2.7,18.9,1.4,0.0,17.2,-5.8,1.0,86.3,116.4,-30.2,3.1,3.7,Alero (SF),127,7,113.5,34,13,33,.394,7,24,.292,1,3,.333,1,8,9,2,3,0,8,18
26,Sergi Martinez,SJG,.254,.143,114.3,11.2,21.4,16.4,0.0,11.3,0.0,0.0,9.2,-2.2,0.6,74.6,109.4,-34.8,5.5,2.7,Alero (SF),158,2,44.0,4,1,7,.143,0,2,.000,2,2,1.000,4,8,12,0,0,0,1,3
1,Chimezie Metu,FCB,.710,.716,177.8,4.5,14.8,10.1,2.7,12.0,2.4,2.5,23.7,-4.9,1.6,122.0,108.6,13.5,52.4,22.6,Ala-Pívot (PF),21,7,131.9,83,32,51,.627,9,16,.563,10,17,.588,4,16,20,2,6,3,8,10
2,Pierre Pelos,GCN,.642,.608,185.5,10.1,20.9,15.4,13.3,14.7,4.2,4.2,17.2,-0.3,1.4,124.9,100.1,24.7,59.3,21.7,Ala-Pívot (PF),84,7,134.2,52,19,37,.514,7,15,.467,7,8,.875,11,22,33,10,10,5,7,15
3,Jan Vesely,FCB,.820,.750,175.0,6.7,7.1,6.9,13.1,17.0,1.5,0.0,19.6,-1.4,2.0,143.1,118.4,24.7,22.3,20.2,Ala-Pívot (PF),113,5,72.5,40,15,20,.750,0,1,.000,10,10,1.000,3,4,7,6,2,0,5,16
4,Trey Thompkins,LBC,.609,.597,161.8,1.5,25.2,12.9,11.4,5.0,0.7,1.4,22.4,1.6,1.3,120.2,125.4,-5.2,33.8,19.2,Ala-Pívot (PF),95,5,80.4,46,18,36,.500,7,19,.368,3,4,.750,1,15,16,5,1,1,2,2
5,Tim Abromaitis,TEN,.746,.750,170.0,3.9,29.6,16.8,2.9,3.4,2.4,0.0,12.5,0.3,1.9,150.6,108.1,42.5,40.0,18.2,Ala-Pívot (PF),109,6,117.8,42,15,22,.682,3,8,.375,9,14,.643,3,23,26,2,5,0,1,13
6,Emanuel Cate,MAN,.648,.581,149.7,21.3,19.1,20.2,4.7,21.6,1.3,0.9,16.5,-6.4,1.5,119.4,98.2,21.2,48.5,18.1,Ala-Pívot (PF),93,7,120.3,47,18,31,.581,0,1,.000,11,12,.917,22,21,43,3,3,1,10,11
7,Amine Noua,GRA,.573,.500,161.8,5.6,21.9,12.9,7.8,17.2,3.8,3.1,26.9,-7.6,1.4,102.1,103.2,-1.1,55.8,18.0,Ala-Pívot (PF),11,7,169.3,94,29,67,.433,9,23,.391,27,34,.794,8,25,33,6,12,5,17,16
8,Emir Sulejmanovic,ZAR,.585,.567,168.1,7.6,26.2,16.6,1.3,9.8,2.8,0.8,20.7,-3.9,1.3,115.9,114.0,1.9,46.5,17.6,Ala-Pívot (PF),51,5,132.3,65,25,52,.481,9,20,.450,6,8,.750,8,26,34,1,7,1,6,14
9,George Conditt IV,GCN,.563,.594,92.7,14.9,18.7,16.7,4.8,17.7,1.9,8.8,18.9,-5.4,1.3,104.7,103.5,1.2,40.8,17.4,Ala-Pívot (PF),110,7,115.8,42,19,32,.594,0,1,.000,4,12,.333,14,17,31,3,4,9,8,15
10,Nikos Chougkaz,AND,.579,.500,170.5,10.9,20.8,16.3,5.4,14.2,1.7,3.8,19.5,-3.7,1.4,116.6,108.6,8.0,52.1,17.1,Ala-Pívot (PF),59,7,148.7,63,20,46,.435,6,16,.375,17,19,.895,12,27,39,5,5,5,9,15
11,Jabari Parker,FCB,.679,.676,171.0,0.9,16.1,9.3,7.0,12.8,2.3,2.1,18.5,-2.1,1.5,118.6,108.5,10.1,52.0,16.9,Ala-Pívot (PF),36,7,158.9,74,27,51,.529,15,27,.556,5,8,.625,1,21,22,7,7,3,8,13
12,Eli John N'Diaye,RMB,.750,.725,215.6,9.8,18.0,14.5,0.0,15.8,3.6,2.0,11.6,-3.9,1.6,134.8,99.8,35.0,34.6,16.6,Ala-Pívot (PF),133,7,106.5,32,12,20,.600,5,9,.556,3,3,1.000,7,17,24,0,7,2,4,12
13,This De Ridder,BBB,.591,.569,178.9,8.2,26.2,17.6,7.1,11.1,1.7,0.7,18.8,-1.9,1.3,115.2,105.7,9.6,54.4,16.2,Ala-Pívot (PF),48,7,159.3,66,25,51,.490,8,14,.571,8,11,.727,10,35,45,6,5,1,7,21
14,Aaron Doornekamp,TEN,.691,.630,183.0,4.8,25.9,15.4,7.4,11.2,1.8,0.9,14.1,0.0,1.6,136.2,109.9,26.3,40.1,15.8,Ala-Pívot (PF),103,6,128.7,44,12,27,.444,10,21,.476,10,11,.909,4,22,26,6,4,1,4,14
15,"Derek Cooke, Jr.",FOR,.600,.615,107.0,13.4,23.9,18.6,6.3,11.5,2.5,1.5,10.9,-0.4,1.4,124.4,104.4,20.0,51.9,15.1,Ala-Pívot (PF),119,7,141.8,37,16,26,.615,0,0,.000,5,11,.455,16,28,44,5,7,2,4,17
16,Dylan Osetkowski,UNI,.435,.388,136.3,11.5,28.3,19.6,6.3,7.3,3.4,0.9,25.7,-1.3,0.9,98.1,100.4,-2.3,38.3,14.6,Ala-Pívot (PF),75,7,123.6,55,20,58,.345,5,27,.185,10,12,.833,11,25,36,5,8,1,5,15
17,Edo Muric,FOR,.593,.586,146.5,6.2,10.3,8.2,5.1,10.2,2.3,0.0,19.8,-2.7,1.3,111.6,110.1,1.5,39.3,14.0,Ala-Pívot (PF),37,7,152.6,73,25,58,.431,18,44,.409,5,8,.625,8,13,21,4,7,0,7,18
18,Marcis Steinbergs,MAN,.673,.641,175.7,3.5,11.5,7.6,7.2,13.8,0.4,1.5,16.3,-2.6,1.5,125.3,103.2,22.1,33.6,13.9,Ala-Pívot (PF),69,7,133.2,59,21,39,.538,8,20,.400,9,11,.818,4,14,18,5,1,2,7,15
19,Beka Burjanadze,LBC,.583,.571,143.7,8.5,18.1,13.1,6.6,10.2,0.6,0.0,18.0,-1.3,1.5,115.8,124.8,-9.0,45.1,13.1,Ala-Pívot (PF),40,7,173.2,72,25,49,.510,6,16,.375,16,29,.552,12,23,35,7,2,0,7,21
20,Vladimir Brodziansky,MUR,.597,.575,153.3,6.5,14.2,10.0,7.3,13.6,1.1,0.7,16.5,-2.1,1.3,112.9,110.1,2.7,33.3,12.6,Ala-Pívot (PF),79,7,145.2,53,20,40,.500,6,18,.333,7,10,.700,8,14,22,6,3,1,7,15
21,John Shurna,GCN,.592,.571,154.3,6.5,8.4,7.4,3.5,6.0,0.4,0.0,16.0,-0.7,1.3,122.7,115.3,7.4,29.5,12.2,Ala-Pívot (PF),73,7,151.7,56,20,42,.476,8,20,.400,8,12,.667,8,10,18,3,1,0,3,14
22,Mindaugas Susinskas,SJG,.652,.583,195.0,2.5,8.5,5.4,7.4,18.5,1.2,0.0,21.9,-6.5,1.5,110.2,115.6,-5.4,14.0,12.0,Ala-Pívot (PF),97,6,92.6,46,13,30,.433,9,15,.600,11,12,.917,2,6,8,3,2,0,8,17
23,Gabriel Deck,RMB,.628,.575,157.2,0.9,15.1,9.0,3.8,13.8,0.6,0.6,16.5,-3.2,1.6,116.2,108.8,7.5,34.1,11.8,Ala-Pívot (PF),61,7,170.9,63,21,40,.525,4,13,.308,17,23,.739,1,23,24,4,2,1,8,15
24,Yannick Kraag,JOV,.565,.532,175.7,12.4,13.3,12.9,4.8,15.5,2.3,1.3,13.3,-2.4,1.2,113.0,108.4,4.6,32.5,11.5,Ala-Pívot (PF),120,7,146.4,37,15,31,.484,3,11,.273,4,4,1.000,12,17,29,4,6,2,6,21
25,Tomasz Gielo,BBB,.612,.563,173.0,3.0,10.1,6.7,3.9,10.0,0.8,3.3,14.6,-1.5,1.4,118.0,113.0,5.0,26.9,11.3,Ala-Pívot (PF),104,7,129.8,44,13,32,.406,10,23,.435,8,9,.889,3,11,14,3,2,4,4,12
26,Eric Vila,BRE,.459,.440,126.0,8.9,11.7,10.2,8.0,11.4,2.3,2.0,20.8,-2.2,1.0,94.2,111.9,-17.7,23.4,10.8,Ala-Pívot (PF),106,7,118.3,43,16,42,.381,5,15,.333,6,11,.545,9,10,19,5,5,2,6,13
27,Ruben Guerrero,GRA,.651,.667,116.7,8.8,14.3,11.3,6.9,24.5,1.6,0.8,9.7,-2.7,1.6,109.9,110.7,-0.8,25.8,9.2,Ala-Pívot (PF),142,7,135.3,28,12,18,.667,0,0,.000,4,8,.500,10,13,23,5,4,1,7,17
28,Edin Atic,BRE,.411,.411,58.8,3.5,21.8,11.9,16.6,20.0,2.4,3.6,12.2,1.2,0.8,86.6,108.4,-21.8,30.3,8.3,Ala-Pívot (PF),149,7,132.7,23,10,28,.357,3,13,.231,0,0,.000,4,21,25,13,6,4,7,15
29,Nate Sestina,VAL,.396,.396,56.9,3.8,8.1,5.7,3.7,11.1,3.4,1.4,14.3,-2.2,0.8,93.7,106.2,-12.5,7.3,5.5,Ala-Pívot (PF),153,5,77.8,19,7,24,.292,5,18,.278,0,0,.000,3,5,8,2,5,1,3,11
30,Yves Pons,SJG,.375,.363,116.7,3.7,12.7,8.1,5.9,16.2,1.6,1.9,14.1,-2.8,0.8,74.9,112.7,-37.8,13.9,3.8,Ala-Pívot (PF),136,7,164.7,31,12,40,.300,5,25,.200,2,3,.667,5,16,21,5,5,3,8,16
1,Fran Guerra,TEN,.694,.652,140.2,10.9,22.7,16.9,13.0,10.7,0.9,3.8,26.0,-1.4,1.8,135.0,111.0,24.0,59.8,27.8,Pívot (C),26,6,127.0,81,30,46,.652,0,3,.000,21,28,.750,9,19,28,8,2,4,7,13
2,Bojan Dubljevic,ZAR,.814,.778,199.4,8.3,18.4,13.5,13.4,16.0,0.7,0.7,21.4,-2.0,2.1,145.8,114.6,31.2,74.1,26.4,Pívot (C),12,6,145.0,94,29,45,.644,12,23,.522,24,29,.828,9,21,30,12,2,1,11,8
3,Jilson Bango,ZAR,.723,.710,139.7,12.6,27.8,20.4,8.9,13.6,0.5,4.4,20.7,-2.7,1.8,135.1,110.0,25.1,49.0,25.1,Pívot (C),77,6,96.1,55,22,31,.710,0,0,.000,11,16,.688,9,21,30,5,1,4,6,11
4,Matt Costello,VAL,.543,.523,141.6,16.8,26.6,21.2,14.6,5.8,1.1,4.5,22.6,2.5,1.2,132.0,103.9,28.1,50.4,24.4,Pívot (C),80,5,95.4,53,19,44,.432,8,23,.348,7,11,.636,16,20,36,8,2,4,3,15
5,Ante Tomic,JOV,.653,.617,134.1,7.3,20.1,14.5,22.0,15.2,1.4,0.0,26.0,-1.1,1.6,121.9,107.3,14.6,70.6,23.3,Pívot (C),9,6,164.8,95,37,60,.617,0,1,.000,21,29,.724,8,28,36,17,4,0,13,11
6,Tryggvi Hlinason,BBB,.809,.793,155.8,15.3,17.5,16.4,18.4,23.2,0.8,7.1,16.6,-1.7,2.0,136.8,108.2,28.6,65.4,23.2,Pívot (C),68,7,136.4,59,23,29,.793,0,0,.000,13,17,.765,16,20,36,13,2,9,11,19
7,Willy Hernangomez,FCB,.626,.583,136.1,14.5,22.2,18.7,12.5,17.7,1.5,3.2,22.6,-3.7,1.5,117.0,108.4,8.6,31.9,21.1,Pívot (C),124,5,71.0,35,14,24,.583,0,0,.000,7,9,.778,7,13,20,5,2,2,6,3
8,Giorgi Shermadini,TEN,.691,.645,144.5,11.2,12.7,11.9,10.2,19.3,2.4,1.3,24.6,-6.4,1.7,120.0,111.3,8.7,31.6,21.1,Pívot (C),83,6,96.2,52,20,31,.645,0,0,.000,12,15,.800,7,8,15,5,4,1,9,11
9,Edy Tavares,RMB,.599,.592,119.2,15.9,18.7,17.5,7.4,14.4,1.6,6.8,18.0,-2.6,1.3,120.5,102.0,18.5,66.5,19.5,Pívot (C),58,7,168.2,64,29,49,.592,0,0,.000,6,10,.600,18,28,46,7,5,11,9,20
10,Ben Lammers,AND,.601,.583,128.3,7.8,23.6,16.4,5.7,14.7,2.1,9.6,16.1,-2.8,1.3,114.8,104.4,10.4,73.8,18.9,Pívot (C),60,7,175.0,63,28,48,.583,0,0,.000,7,10,.700,10,36,46,6,7,15,9,11
11,Simon Birgander,MUR,.732,.700,160.0,7.8,28.0,16.8,6.7,11.9,0.6,3.8,13.9,-1.2,1.6,136.6,106.8,29.9,64.8,18.8,Pívot (C),55,7,168.3,65,28,40,.700,0,0,.000,9,10,.900,11,32,43,6,2,6,6,19
12,Donta Hall,BASK,.757,.731,145.1,9.0,20.3,14.6,5.2,19.6,1.0,6.3,13.9,-3.7,2.2,132.7,117.5,15.3,58.1,18.7,Pívot (C),74,6,154.0,56,19,26,.731,0,0,.000,18,25,.720,11,24,35,5,3,9,9,12
13,James Nnaji,SJG,.695,.682,132.9,10.5,17.5,13.8,0.0,16.9,2.9,4.6,14.8,-5.3,1.9,122.0,106.9,15.2,37.4,17.9,Pívot (C),112,6,113.4,41,15,22,.682,0,0,.000,11,17,.647,10,15,25,0,6,5,6,14
14,Dragan Apic,BRE,.677,.655,134.7,4.9,16.4,10.2,10.1,14.7,3.2,1.0,16.0,-1.7,1.6,121.3,109.3,12.0,36.9,17.2,Pívot (C),92,7,118.1,47,19,29,.655,0,0,.000,9,13,.692,5,14,19,6,7,1,6,14
15,Mike Tobey,GCN,.588,.578,154.3,9.7,18.4,14.0,13.8,10.2,0.7,2.2,18.7,0.9,1.2,120.7,109.9,10.7,51.3,17.2,Pívot (C),65,7,152.4,62,27,51,.529,5,19,.263,3,4,.750,12,22,34,11,2,3,6,19
16,Jaime Pradilla,VAL,.567,.538,136.8,8.8,32.5,19.3,10.7,12.1,1.9,1.9,12.1,1.2,1.3,126.8,102.0,24.8,49.6,17.2,Pívot (C),131,5,113.1,33,13,26,.500,2,13,.154,5,7,.714,10,29,39,8,4,2,4,6
17,Marvin Jones,BBB,.589,.528,127.8,11.2,13.4,12.3,2.6,16.6,1.1,4.9,24.7,-7.7,1.5,107.1,110.4,-3.3,44.5,17.0,Pívot (C),30,7,150.8,77,28,53,.528,0,3,.000,21,28,.750,13,17,30,2,3,7,13,14
18,Augusto Lima,LBC,.548,.500,138.9,11.5,22.5,16.7,19.8,20.8,1.5,1.7,17.3,0.2,1.2,109.5,120.8,-11.3,47.9,14.1,Pívot (C),96,7,138.7,46,19,38,.500,0,0,.000,8,9,.889,13,23,36,17,4,2,11,17
19,Musa Sagnia,MAN,.520,.500,160.6,12.4,21.5,17.1,5.7,17.7,1.7,5.9,11.8,-2.6,1.1,107.2,94.3,13.0,42.5,13.4,Pívot (C),140,7,122.2,29,13,27,.481,1,8,.125,2,2,1.000,13,24,37,4,4,7,6,11
20,Artem Pustovyi,JOV,.615,.462,133.7,10.1,6.7,8.1,10.2,26.2,1.4,6.5,20.6,-7.3,1.7,105.9,111.7,-5.8,23.8,12.8,Pívot (C),100,7,120.5,45,12,26,.462,0,1,.000,21,24,.875,8,7,15,7,3,8,13,22
21,Yankuba Sima,UNI,.634,.654,109.8,3.8,22.9,13.1,3.1,14.3,0.5,3.4,16.1,-3.6,1.5,109.9,108.6,1.3,23.9,12.4,Pívot (C),117,6,102.1,38,17,26,.654,0,0,.000,4,9,.444,3,17,20,2,1,3,5,16
22,Jordan Sakho,BRE,.520,.467,111.4,12.4,23.6,17.6,3.8,25.8,1.5,5.2,16.8,-7.8,1.3,90.8,109.0,-18.2,32.1,10.1,Pívot (C),114,7,140.4,39,14,30,.467,0,0,.000,11,17,.647,15,24,39,3,4,6,13,22
23,Marko Todorovic,MUR,.388,.347,104.2,17.1,12.5,15.0,13.2,6.8,1.6,0.0,29.4,0.5,0.9,95.3,109.9,-14.6,8.5,9.5,Pívot (C),132,5,68.9,32,12,36,.333,1,8,.125,7,12,.583,10,6,16,5,2,0,3,21
24,Khalifa Diop,BASK,.599,.538,116.3,12.8,16.9,14.9,6.7,31.0,0.5,3.0,12.4,-5.3,1.8,105.8,122.3,-16.5,20.3,8.7,Pívot (C),146,7,109.1,24,7,13,.538,0,0,.000,10,16,.625,11,14,25,5,1,3,9,19
25,Michael Ruzic,JOV,.510,.531,110.4,5.9,13.2,10.1,4.6,9.7,1.4,2.5,13.4,-0.9,1.2,103.2,109.3,-6.2,12.5,8.5,Pívot (C),154,4,74.7,19,7,16,.438,3,9,.333,2,6,.333,3,9,12,2,2,2,2,12
26,Jake Wiley,GRA,.468,.410,122.8,8.6,16.7,12.2,11.3,21.5,0.9,4.2,20.7,-5.9,1.1,87.0,109.7,-22.6,22.1,8.5,Pívot (C),111,7,124.4,41,16,39,.410,0,2,.000,9,11,.818,9,14,23,7,2,5,12,14
